word	idf	rf_importance	lr_importance
association	5.5321	0.0235	-2.0995
effect	5.804	0.0134	-1.8147
impact	4.8753	0.0124	-1.5438
analysis	5.452	0.0095	-1.3257
influence	7.1903	0.0076	-1.2613
learning	6.5289	0.0076	-1.1972
identification	6.4076	0.0067	-1.14
characteristics	6.8274	0.0067	-1.0044
development	5.4303	0.0065	-0.8293
overtreating	8.8643	0.0064	-1.0044
role	6.4076	0.0063	-1.056
risk	5.4303	0.0063	-0.9765
outcomes	5.7434	0.0062	-1.1213
evaluation	6.0311	0.0062	-0.9381
correction	6.2017	0.0055	-0.8957
respiratory	8.3535	0.0054	-0.8937
vali	6.9184	0.0053	-1.2157
use	5.6191	0.005	-0.5668
ontology	5.2007	0.0048	0.1911
clinical	5.6588	0.0048	-0.7691
adverse	6.1562	0.0046	-0.8504
prognostic	6.4972	0.0046	-1.1299
enrich	8.8643	0.0046	-0.954
health	5.7732	0.0045	-0.8915
early	6.8719	0.0044	-0.8862
vocabulary	6.9672	0.0043	-0.9099
value	7.0725	0.0043	-0.7203
database	4.5033	0.0041	1.9048
nome	8.017	0.0041	-0.7885
need	8.1711	0.0041	-0.7715
effects	6.4972	0.0041	-0.8836
events	6.6307	0.004	-0.858
lung	7.565	0.0039	-0.9575
acamprosate	9.2698	0.0039	-0.6007
survival	6.3794	0.0039	-0.7454
factors	5.9376	0.0039	-0.8604
novel	6.5289	0.0039	-0.7144
evinacumab	9.2698	0.0038	-0.6007
based	5.852	0.0036	-0.4907
woof	9.2698	0.0036	-0.6007
cidofovir	9.2698	0.0036	-0.6007
continent	9.2698	0.0035	-0.6007
according	9.2698	0.0035	-0.6007
accuracy	7.7657	0.0035	-0.6007
children	7.7657	0.0034	-0.715
bidirectional	9.2698	0.0034	-0.6007
correlation	8.1711	0.0034	-0.6007
ontopharma	9.2698	0.0034	-0.5648
atogepant	9.2698	0.0034	-0.6007
covid	5.9025	0.0034	-0.5546
pimavanserin	9.2698	0.0034	-0.6007
resource	4.1107	0.0033	-0.1193
anti	8.017	0.0033	-0.717
